"distance","choice","confidence","bias","experience","room_orientation"
"far","plaintiff",3,"prosecutor","no","jury_left"
"far","plaintiff",3,"prosecutor","no","jury_right"
"far","plaintiff",5,"prosecutor","yes","jury_left"
"far","defendant",9,"defendant","no","jury_right"
"near","defendant",6,"no","no","jury_right"
"near","defendant",1,"no","no","jury_right"
"near","plaintiff",8,"defendant","no","jury_left"
"near","plaintiff",3,"no","no","jury_left"
"far","defendant",9,"defendant","no","jury_right"
"far","plaintiff",8,"prosecutor","no","jury_right"
"near","plaintiff",1,"no","no","jury_left"
"near","defendant",5,"defendant","no","jury_right"
"near","defendant",6,"prosecutor","no","jury_right"
"far","defendant",6,"defendant","no","jury_right"
"near","defendant",8,"no","yes","jury_right"
"far","plaintiff",5,"no","no","jury_left"
"far","plaintiff",6,"prosecutor","no","jury_right"
"near","defendant",6,"prosecutor","no","jury_left"
"far","plaintiff",5,"prosecutor","yes","jury_left"
"far","defendant",6,"prosecutor","no","jury_left"
"far","plaintiff",8,"prosecutor","no","jury_right"
"near","defendant",1,"no","yes","jury_right"
"near","plaintiff",1,"no","yes","jury_right"
"far","plaintiff",7,"no","no","jury_left"
"near","defendant",6,"no","no","jury_right"
"near","defendant",6,"no","no","jury_left"
"near","defendant",3,"prosecutor","yes","jury_right"
"near","plaintiff",4,"prosecutor","yes","jury_right"
"near","defendant",7,"no","no","jury_right"
"near","plaintiff",1,"no","no","jury_right"
"far","defendant",2,"prosecutor","no","jury_right"
"far","plaintiff",6,"no","no","jury_left"
"far","plaintiff",1,"prosecutor","no","jury_right"
"far","defendant",7,"no","no","jury_right"
"far","defendant",6,"no","no","jury_left"
"far","defendant",1,"prosecutor","no","jury_right"
"near","plaintiff",8,"prosecutor","yes","jury_right"
"far","plaintiff",4,"prosecutor","yes","jury_left"
"far","defendant",5,"no","no","jury_left"
"near","defendant",1,"no","no","jury_left"
"near","plaintiff",9,"defendant","no","jury_left"
"far","defendant",5,"prosecutor","no","jury_left"
"far","plaintiff",7,"no","no","jury_left"
"near","defendant",8,"prosecutor","yes","jury_left"
"far","defendant",6,"no","no","jury_left"
"far","plaintiff",3,"no","no","jury_left"
"near","defendant",4,"prosecutor","yes","jury_right"
"near","plaintiff",7,"prosecutor","no","jury_right"
"near","defendant",6,"no","yes","jury_right"
"near","plaintiff",3,"prosecutor","no","jury_left"
"far","plaintiff",4,"no","no","jury_left"
"near","plaintiff",7,"prosecutor","no","jury_right"
"far","plaintiff",2,"no","no","jury_left"
"far","plaintiff",6,"prosecutor","no","jury_right"
"near","plaintiff",4,"prosecutor","yes","jury_right"
"far","plaintiff",4,"prosecutor","yes","jury_right"
"far","defendant",3,"prosecutor","no","jury_right"
"near","plaintiff",5,"no","no","jury_right"
"far","defendant",5,"prosecutor","yes","jury_right"
"far","defendant",6,"no","no","jury_left"
"far","defendant",6,"no","no","jury_left"
"near","defendant",5,"defendant","yes","jury_right"
"near","defendant",6,"prosecutor","no","jury_left"
"far","plaintiff",7,"prosecutor","no","jury_left"
"far","defendant",9,"no","no","jury_left"
"near","plaintiff",5,"prosecutor","no","jury_left"
"near","defendant",5,"defendant","no","jury_right"
"near","defendant",4,"no","yes","jury_right"
"far","defendant",6,"prosecutor","no","jury_right"
