"distance","choice","confidence","bias","language_perspective","language_evidence","question_orientation","experience"
"far","defendant",7,"no","defendant","weak","defendant_choice_up","no"
"far","defendant",6,"no","defendant","weak","defendant_choice_down","no"
"near","plaintiff",7,"no","defendant","weak","defendant_choice_up","yes"
"far","plaintiff",9,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",4,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"far","defendant",8,"prosecutor","defendant","strong","defendant_choice_down","no"
"near","defendant",4,"no","defendant","weak","defendant_choice_up","no"
"near","defendant",7,"prosecutor","defendant","strong","defendant_choice_down","no"
"near","plaintiff",7,"no","defendant","weak","defendant_choice_down","no"
"near","defendant",6,"no","defendant","weak","defendant_choice_down","no"
"far","defendant",6,"defendant","defendant","strong","defendant_choice_down","no"
"near","defendant",1,"no","prosecutor","strong","defendant_choice_up","no"
"far","defendant",6,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",7,"prosecutor","defendant","strong","defendant_choice_down","no"
"far","defendant",8,"no","prosecutor","weak","defendant_choice_up","no"
"near","defendant",2,"no","defendant","weak","defendant_choice_down","no"
"far","plaintiff",4,"no","prosecutor","strong","defendant_choice_down","no"
"near","defendant",3,"defendant","prosecutor","strong","defendant_choice_up","no"
"near","defendant",8,"defendant","defendant","strong","defendant_choice_up","no"
"near","plaintiff",6,"no","prosecutor","weak","defendant_choice_down","no"
"near","defendant",3,"no","defendant","weak","defendant_choice_up","yes"
"near","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"near","defendant",4,"defendant","prosecutor","strong","defendant_choice_down","no"
"near","defendant",5,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",6,"no","prosecutor","weak","defendant_choice_down","no"
"near","plaintiff",8,"no","prosecutor","strong","defendant_choice_up","no"
"far","defendant",3,"no","defendant","strong","defendant_choice_down","yes"
"far","plaintiff",8,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",5,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"near","defendant",6,"no","defendant","strong","defendant_choice_down","no"
"far","plaintiff",5,"no","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",5,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","defendant",7,"no","defendant","strong","defendant_choice_up","no"
"near","defendant",8,"no","defendant","strong","defendant_choice_down","no"
"far","defendant",6,"prosecutor","defendant","weak","defendant_choice_up","no"
"near","plaintiff",8,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","defendant",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","defendant",4,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","plaintiff",6,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",6,"prosecutor","defendant","strong","defendant_choice_down","no"
"far","plaintiff",7,"no","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",7,"prosecutor","prosecutor","strong","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"near","defendant",5,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_up","no"
"near","plaintiff",6,"no","prosecutor","strong","defendant_choice_up","no"
"far","defendant",6,"no","defendant","weak","defendant_choice_up","yes"
"far","plaintiff",8,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","defendant",8,"defendant","prosecutor","weak","defendant_choice_down","no"
"near","plaintiff",7,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",8,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"near","plaintiff",7,"no","prosecutor","strong","defendant_choice_down","no"
"near","plaintiff",6,"no","prosecutor","strong","defendant_choice_up","no"
"near","plaintiff",2,"no","defendant","weak","defendant_choice_up","no"
"far","defendant",8,"no","defendant","strong","defendant_choice_up","no"
"near","plaintiff",3,"no","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",7,"no","prosecutor","strong","defendant_choice_down","no"
"near","plaintiff",7,"defendant","defendant","weak","defendant_choice_up","no"
"near","plaintiff",8,"no","prosecutor","strong","defendant_choice_down","no"
"far","defendant",7,"no","defendant","strong","defendant_choice_up","no"
"near","defendant",3,"no","prosecutor","strong","defendant_choice_up","no"
"near","plaintiff",5,"prosecutor","defendant","strong","defendant_choice_down","no"
"far","defendant",7,"defendant","defendant","strong","defendant_choice_down","no"
"near","plaintiff",6,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"near","plaintiff",6,"prosecutor","prosecutor","strong","defendant_choice_up","yes"
"far","plaintiff",7,"prosecutor","prosecutor","strong","defendant_choice_down","no"
"far","plaintiff",5,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","plaintiff",6,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"near","defendant",7,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",6,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",7,"no","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",6,"prosecutor","defendant","weak","defendant_choice_down","no"
"near","plaintiff",3,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","defendant",6,"no","prosecutor","weak","defendant_choice_up","no"
"near","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","defendant",8,"no","defendant","weak","defendant_choice_down","no"
"far","defendant",8,"no","defendant","strong","defendant_choice_up","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"far","defendant",5,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",7,"no","prosecutor","strong","defendant_choice_up","yes"
"near","plaintiff",7,"defendant","defendant","weak","defendant_choice_down","no"
"far","plaintiff",4,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"near","plaintiff",8,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",8,"prosecutor","prosecutor","strong","defendant_choice_down","no"
"far","defendant",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"near","defendant",7,"prosecutor","defendant","strong","defendant_choice_down","no"
"near","defendant",5,"no","defendant","weak","defendant_choice_down","no"
"near","defendant",2,"no","defendant","weak","defendant_choice_up","yes"
"near","plaintiff",6,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"far","defendant",4,"no","defendant","strong","defendant_choice_down","no"
"near","plaintiff",5,"prosecutor","defendant","weak","defendant_choice_up","no"
"far","plaintiff",8,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"near","defendant",2,"no","defendant","weak","defendant_choice_down","no"
"near","defendant",4,"prosecutor","defendant","strong","defendant_choice_up","no"
"near","plaintiff",5,"defendant","prosecutor","weak","defendant_choice_down","yes"
"near","plaintiff",8,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"near","plaintiff",8,"no","prosecutor","strong","defendant_choice_up","yes"
"near","defendant",8,"defendant","defendant","strong","defendant_choice_up","no"
"near","plaintiff",6,"prosecutor","defendant","weak","defendant_choice_up","no"
"near","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",4,"prosecutor","defendant","weak","defendant_choice_up","yes"
"far","defendant",6,"no","prosecutor","strong","defendant_choice_down","no"
"near","defendant",6,"no","defendant","weak","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_up","no"
"far","plaintiff",5,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","defendant",4,"no","defendant","strong","defendant_choice_down","no"
"near","plaintiff",7,"no","prosecutor","strong","defendant_choice_up","no"
"near","defendant",3,"no","defendant","weak","defendant_choice_up","no"
"far","plaintiff",7,"defendant","prosecutor","weak","defendant_choice_up","no"
"near","defendant",6,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",6,"defendant","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",7,"no","prosecutor","weak","defendant_choice_down","no"
"far","plaintiff",8,"prosecutor","prosecutor","strong","defendant_choice_down","no"
"far","plaintiff",7,"no","prosecutor","weak","defendant_choice_up","no"
"far","defendant",6,"no","defendant","strong","defendant_choice_up","no"
"near","defendant",7,"defendant","defendant","strong","defendant_choice_up","no"
"near","plaintiff",6,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"near","defendant",2,"defendant","defendant","strong","defendant_choice_up","no"
"near","defendant",9,"defendant","prosecutor","weak","defendant_choice_down","no"
"near","defendant",6,"no","defendant","strong","defendant_choice_down","no"
"far","plaintiff",6,"prosecutor","defendant","strong","defendant_choice_up","no"
"near","plaintiff",7,"no","prosecutor","strong","defendant_choice_down","no"
"near","plaintiff",5,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","plaintiff",6,"no","prosecutor","strong","defendant_choice_up","yes"
"near","plaintiff",7,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"far","plaintiff",8,"prosecutor","prosecutor","strong","defendant_choice_up","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"near","plaintiff",7,"defendant","prosecutor","strong","defendant_choice_down","no"
"near","defendant",6,"defendant","defendant","weak","defendant_choice_up","no"
"far","defendant",5,"no","defendant","weak","defendant_choice_up","no"
"near","plaintiff",6,"no","prosecutor","weak","defendant_choice_up","no"
"near","plaintiff",8,"prosecutor","defendant","strong","defendant_choice_down","no"
"far","defendant",1,"no","defendant","strong","defendant_choice_down","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_down","yes"
"near","defendant",6,"no","defendant","weak","defendant_choice_up","yes"
"near","defendant",7,"defendant","defendant","strong","defendant_choice_down","no"
"near","plaintiff",6,"prosecutor","prosecutor","weak","defendant_choice_up","no"
"near","defendant",9,"defendant","defendant","strong","defendant_choice_up","yes"
"near","plaintiff",4,"prosecutor","prosecutor","weak","defendant_choice_down","no"
"far","defendant",4,"no","prosecutor","strong","defendant_choice_up","no"
"near","defendant",9,"defendant","defendant","weak","defendant_choice_up","no"
"far","plaintiff",7,"prosecutor","defendant","weak","defendant_choice_down","no"
"far","defendant",8,"no","defendant","strong","defendant_choice_up","no"
"far","defendant",6,"prosecutor","defendant","strong","defendant_choice_up","yes"
"near","defendant",8,"prosecutor","defendant","strong","defendant_choice_down","no"
"far","plaintiff",5,"no","prosecutor","strong","defendant_choice_down","no"
